id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
14633,,37.275561,-121.964134, Hazelwood canary ,outside,12.65,69.0,20.555555555555557,37.0,1019.61,,,,,,,,,,,,,2020-11-15 18:33:58,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,11.11,10.26,9.57,14.81,12.2,12.47
14091,,37.88362,-122.070087, WC Hillside,outside,6.05,64.0,17.77777777777778,43.0,1014.11,,,,,,,,,,,,,2020-11-15 18:32:35,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,6.84,7.27,7.17,7.12,7.88,12.14
64797,,37.788488,-122.263106,1 5th Avenue Marina Bldg 28 @ El 9 Ft,outside,32.9,75.0,23.88888888888889,36.0,1028.16,,,,,,,,,,,,,2020-11-15 18:33:34,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,32.63,30.14,26.0,18.55,15.23,14.98
69629,,38.223993,-122.659176,1 Iverson Way,outside,7.03,76.0,24.444444444444446,30.0,1017.93,,,,,,,,,,,,,2020-11-15 18:32:29,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,8.24,8.55,8.7,6.06,4.58,7.56
67357,,37.38472,-122.20407,10 Alhambra Ct. Portola Valley,outside,3.73,60.0,15.555555555555557,43.0,999.88,,,,,,,,,,,,,2020-11-15 18:32:42,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.35,2.81,2.27,5.05,6.84,10.0
70403,,37.320428,-122.270306,100 Canada Vista,outside,0.55,89.0,31.666666666666668,13.0,1006.5,,,,,,,,,,,,,2020-11-15 18:33:50,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,8.1,21.57,22.57,18.33,16.47,12.79
42003,,37.988603,-122.105746,1000 Rolling Hill Way,outside,9.02,70.0,21.11111111111111,35.0,1019.45,,,,,,,,,,,,,2020-11-15 18:32:35,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,7.84,9.12,9.35,8.68,10.19,14.39
20747,,37.838977,-122.205489,1000ft Montclair,outside,25.29,63.0,17.22222222222222,56.0,990.81,,,,,,,,,,,,,2020-11-15 18:33:13,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,22.33,15.62,11.71,8.72,11.58,13.74
37077,,37.446829,-122.168242,"101 Alma St, 12th Floor, Palo Alto, CA 94301",outside,19.88,61.0,16.11111111111111,43.0,1021.11,,,,,,,,,,,,,2020-11-15 17:16:23,PMS5003+PMS5003+BME280,,,False,False,False,78,,,,,,,False,3.87,4.15,5.45,6.27,5.2,18.66
61607,,37.460399,-122.18778,102 Encinal Ave.,outside,5.76,68.0,20.0,46.0,1018.14,,,,,,,,,,,,,2020-11-04 01:59:08,PMS5003+PMS5003+BME280,,,False,False,False,16835,,,,,,,False,5.69,6.09,8.07,21.13,27.04,18.4
